# time,glucose,G6P,F6P,FdP,GAP,PEP,PYR,6PG,G1P
190.5,0.19,3.56,0.61,0.88,0.38,2.27,3.39,0.84,0.61
191,0.18,3.56,0.61,0.87,0.38,2.28,3.39,0.84,0.62
191.5,0.18,3.56,0.61,0.87,0.38,2.29,3.38,0.84,0.62
192,0.18,3.56,0.61,0.86,0.38,2.3,3.38,0.84,0.62
192.5,0.18,3.56,0.61,0.86,0.38,2.3,3.37,0.84,0.62
193,0.18,3.56,0.61,0.86,0.38,2.31,3.37,0.84,0.62
193.5,0.18,3.57,0.61,0.85,0.38,2.32,3.36,0.84,0.62
194,0.18,3.57,0.61,0.85,0.38,2.33,3.36,0.84,0.62
194.5,0.17,3.57,0.61,0.85,0.37,2.34,3.35,0.84,0.62
195,0.17,3.57,0.61,0.84,0.37,2.34,3.35,0.84,0.62
195.5,0.17,3.57,0.61,0.84,0.37,2.35,3.34,0.84,0.62
196,0.17,3.57,0.61,0.84,0.37,2.36,3.34,0.84,0.62
196.5,0.17,3.57,0.61,0.83,0.37,2.37,3.33,0.84,0.62
197,0.17,3.57,0.61,0.83,0.37,2.38,3.33,0.84,0.62
197.5,0.17,3.57,0.62,0.83,0.37,2.38,3.32,0.84,0.62
198,0.16,3.57,0.62,0.82,0.37,2.39,3.32,0.84,0.62
198.5,0.16,3.57,0.62,0.82,0.37,2.4,3.32,0.84,0.62
199,0.16,3.57,0.62,0.82,0.37,2.41,3.31,0.84,0.62
199.5,0.16,3.58,0.62,0.81,0.37,2.42,3.31,0.84,0.62
200,0.16,3.58,0.62,0.81,0.37,2.42,3.3,0.84,0.62
200.5,0.16,3.58,0.62,0.81,0.37,2.43,3.3,0.84,0.62
201,0.16,3.58,0.62,0.8,0.37,2.44,3.29,0.84,0.62
201.5,0.15,3.58,0.62,0.8,0.37,2.45,3.29,0.84,0.62
202,0.15,3.58,0.62,0.79,0.36,2.46,3.28,0.84,0.62
202.5,0.15,3.58,0.62,0.79,0.36,2.46,3.28,0.84,0.62
203,0.15,3.58,0.62,0.79,0.36,2.47,3.27,0.84,0.63
203.5,0.15,3.58,0.62,0.78,0.36,2.48,3.27,0.84,0.63
204,0.15,3.58,0.62,0.78,0.36,2.49,3.26,0.84,0.63
204.5,0.15,3.58,0.62,0.78,0.36,2.49,3.26,0.84,0.63
205,0.15,3.58,0.62,0.77,0.36,2.5,3.25,0.84,0.63
205.5,0.14,3.58,0.62,0.77,0.36,2.51,3.25,0.84,0.63
206,0.14,3.58,0.62,0.77,0.36,2.52,3.25,0.85,0.63
206.5,0.14,3.59,0.62,0.76,0.36,2.53,3.24,0.85,0.63
207,0.14,3.59,0.62,0.76,0.36,2.53,3.24,0.85,0.63
207.5,0.14,3.59,0.62,0.76,0.36,2.54,3.23,0.85,0.63
208,0.14,3.59,0.62,0.75,0.36,2.55,3.23,0.85,0.63
208.5,0.14,3.59,0.62,0.75,0.36,2.56,3.22,0.85,0.63
209,0.14,3.59,0.62,0.75,0.36,2.56,3.22,0.85,0.63
209.5,0.13,3.59,0.62,0.74,0.35,2.57,3.21,0.85,0.63
210,0.13,3.59,0.62,0.74,0.35,2.58,3.21,0.85,0.63
210.5,0.13,3.59,0.62,0.74,0.35,2.59,3.2,0.85,0.63
211,0.13,3.59,0.62,0.73,0.35,2.59,3.2,0.85,0.63
211.5,0.13,3.59,0.62,0.73,0.35,2.6,3.2,0.85,0.63
212,0.13,3.59,0.62,0.73,0.35,2.61,3.19,0.85,0.63
212.5,0.13,3.59,0.62,0.72,0.35,2.61,3.19,0.85,0.63
213,0.13,3.59,0.62,0.72,0.35,2.62,3.18,0.85,0.63
213.5,0.13,3.59,0.62,0.72,0.35,2.63,3.18,0.85,0.63
214,0.13,3.59,0.62,0.71,0.35,2.64,3.17,0.85,0.63
214.5,0.12,3.59,0.62,0.71,0.35,2.64,3.17,0.85,0.63
215,0.12,3.6,0.62,0.71,0.35,2.65,3.16,0.85,0.63
215.5,0.12,3.6,0.62,0.7,0.35,2.66,3.16,0.85,0.63
216,0.12,3.6,0.62,0.7,0.35,2.66,3.16,0.85,0.64
216.5,0.12,3.6,0.62,0.7,0.34,2.67,3.15,0.85,0.64
217,0.12,3.6,0.62,0.69,0.34,2.68,3.15,0.85,0.64
217.5,0.12,3.6,0.62,0.69,0.34,2.69,3.14,0.85,0.64
218,0.12,3.6,0.62,0.69,0.34,2.69,3.14,0.85,0.64
218.5,0.12,3.6,0.62,0.68,0.34,2.7,3.13,0.85,0.64
219,0.12,3.6,0.62,0.68,0.34,2.71,3.13,0.85,0.64
219.5,0.11,3.6,0.62,0.68,0.34,2.71,3.13,0.85,0.64
220,0.11,3.6,0.62,0.67,0.34,2.72,3.12,0.85,0.64
220.5,0.11,3.6,0.62,0.67,0.34,2.73,3.12,0.85,0.64
221,0.11,3.6,0.62,0.67,0.34,2.73,3.11,0.85,0.64
221.5,0.11,3.6,0.62,0.67,0.34,2.74,3.11,0.85,0.64
222,0.11,3.6,0.62,0.66,0.34,2.75,3.1,0.85,0.64
222.5,0.11,3.6,0.62,0.66,0.34,2.75,3.1,0.85,0.64
223,0.11,3.6,0.62,0.66,0.34,2.76,3.1,0.85,0.64
223.5,0.11,3.6,0.62,0.65,0.34,2.76,3.09,0.85,0.64
224,0.11,3.6,0.62,0.65,0.33,2.77,3.09,0.85,0.64
224.5,0.11,3.6,0.62,0.65,0.33,2.78,3.08,0.85,0.64
225,0.11,3.6,0.62,0.64,0.33,2.78,3.08,0.85,0.64
225.5,0.1,3.6,0.62,0.64,0.33,2.79,3.08,0.85,0.64
226,0.1,3.6,0.62,0.64,0.33,2.8,3.07,0.85,0.64
226.5,0.1,3.6,0.62,0.63,0.33,2.8,3.07,0.85,0.64
227,0.1,3.6,0.62,0.63,0.33,2.81,3.06,0.85,0.64
227.5,0.1,3.6,0.62,0.63,0.33,2.81,3.06,0.85,0.64
228,0.1,3.6,0.62,0.63,0.33,2.82,3.06,0.85,0.64
228.5,0.1,3.6,0.62,0.62,0.33,2.82,3.05,0.85,0.64
229,0.1,3.6,0.62,0.62,0.33,2.83,3.05,0.85,0.64
229.5,0.1,3.6,0.62,0.62,0.33,2.84,3.04,0.85,0.64
230,0.1,3.6,0.62,0.61,0.33,2.84,3.04,0.85,0.64
230.5,0.1,3.6,0.62,0.61,0.33,2.85,3.04,0.85,0.64
231,0.1,3.6,0.62,0.61,0.32,2.85,3.03,0.85,0.64
231.5,0.1,3.6,0.62,0.61,0.32,2.86,3.03,0.85,0.64
232,0.1,3.6,0.62,0.6,0.32,2.86,3.03,0.85,0.65
232.5,0.09,3.6,0.62,0.6,0.32,2.87,3.02,0.85,0.65
233,0.09,3.6,0.62,0.6,0.32,2.87,3.02,0.85,0.65
233.5,0.09,3.6,0.62,0.6,0.32,2.88,3.01,0.85,0.65
234,0.09,3.6,0.62,0.59,0.32,2.88,3.01,0.85,0.65
234.5,0.09,3.6,0.62,0.59,0.32,2.89,3.01,0.85,0.65
235,0.09,3.6,0.62,0.59,0.32,2.89,3,0.85,0.65
235.5,0.09,3.6,0.62,0.58,0.32,2.9,3,0.85,0.65
236,0.09,3.6,0.62,0.58,0.32,2.9,3,0.85,0.65
236.5,0.09,3.6,0.62,0.58,0.32,2.91,2.99,0.85,0.65
237,0.09,3.6,0.62,0.58,0.32,2.91,2.99,0.85,0.65
237.5,0.09,3.6,0.62,0.57,0.32,2.92,2.99,0.85,0.65
238,0.09,3.6,0.62,0.57,0.32,2.92,2.98,0.85,0.65
238.5,0.09,3.6,0.62,0.57,0.31,2.93,2.98,0.85,0.65
239,0.09,3.6,0.62,0.57,0.31,2.93,2.98,0.85,0.65
239.5,0.09,3.6,0.62,0.56,0.31,2.94,2.97,0.85,0.65
240,0.09,3.6,0.62,0.56,0.31,2.94,2.97,0.85,0.65
240.5,0.09,3.6,0.62,0.56,0.31,2.95,2.97,0.85,0.65
241,0.08,3.6,0.62,0.56,0.31,2.95,2.96,0.85,0.65
241.5,0.08,3.6,0.62,0.55,0.31,2.96,2.96,0.85,0.65
242,0.08,3.6,0.62,0.55,0.31,2.96,2.96,0.85,0.65
242.5,0.08,3.6,0.62,0.55,0.31,2.96,2.95,0.85,0.65
243,0.08,3.6,0.62,0.55,0.31,2.97,2.95,0.85,0.65
243.5,0.08,3.6,0.62,0.55,0.31,2.97,2.95,0.85,0.65
244,0.08,3.6,0.62,0.54,0.31,2.98,2.94,0.85,0.65
244.5,0.08,3.6,0.62,0.54,0.31,2.98,2.94,0.85,0.65
245,0.08,3.6,0.62,0.54,0.31,2.98,2.94,0.85,0.65
245.5,0.08,3.6,0.62,0.54,0.31,2.99,2.93,0.85,0.65
246,0.08,3.6,0.62,0.53,0.31,2.99,2.93,0.85,0.65
246.5,0.08,3.6,0.62,0.53,0.31,3,2.93,0.85,0.65
247,0.08,3.6,0.62,0.53,0.3,3,2.92,0.85,0.65
247.5,0.08,3.6,0.62,0.53,0.3,3,2.92,0.85,0.65
248,0.08,3.6,0.62,0.53,0.3,3.01,2.92,0.85,0.65
248.5,0.08,3.6,0.62,0.52,0.3,3.01,2.92,0.85,0.65
249,0.08,3.6,0.62,0.52,0.3,3.01,2.91,0.85,0.65
249.5,0.08,3.6,0.62,0.52,0.3,3.02,2.91,0.85,0.65
250,0.08,3.59,0.62,0.52,0.3,3.02,2.91,0.85,0.65
250.5,0.08,3.59,0.62,0.52,0.3,3.02,2.9,0.85,0.65
251,0.08,3.59,0.62,0.51,0.3,3.03,2.9,0.85,0.65
251.5,0.08,3.59,0.62,0.51,0.3,3.03,2.9,0.85,0.65
252,0.07,3.59,0.62,0.51,0.3,3.03,2.9,0.85,0.65
252.5,0.07,3.59,0.62,0.51,0.3,3.04,2.89,0.85,0.65
253,0.07,3.59,0.62,0.51,0.3,3.04,2.89,0.85,0.65
253.5,0.07,3.59,0.62,0.5,0.3,3.04,2.89,0.85,0.65
254,0.07,3.59,0.62,0.5,0.3,3.04,2.88,0.85,0.65
254.5,0.07,3.59,0.62,0.5,0.3,3.05,2.88,0.85,0.65
255,0.07,3.59,0.62,0.5,0.3,3.05,2.88,0.85,0.65
255.5,0.07,3.59,0.62,0.5,0.3,3.05,2.88,0.85,0.65
256,0.07,3.59,0.62,0.49,0.29,3.06,2.87,0.85,0.65
256.5,0.07,3.59,0.62,0.49,0.29,3.06,2.87,0.85,0.65
257,0.07,3.59,0.62,0.49,0.29,3.06,2.87,0.85,0.65
257.5,0.07,3.59,0.62,0.49,0.29,3.06,2.87,0.85,0.65
258,0.07,3.59,0.62,0.49,0.29,3.07,2.86,0.85,0.65
258.5,0.07,3.59,0.62,0.49,0.29,3.07,2.86,0.85,0.65
259,0.07,3.59,0.62,0.48,0.29,3.07,2.86,0.85,0.65
259.5,0.07,3.59,0.62,0.48,0.29,3.07,2.86,0.85,0.65
260,0.07,3.58,0.62,0.48,0.29,3.08,2.86,0.85,0.65
260.5,0.07,3.58,0.62,0.48,0.29,3.08,2.85,0.85,0.65
261,0.07,3.58,0.62,0.48,0.29,3.08,2.85,0.85,0.65
261.5,0.07,3.58,0.62,0.47,0.29,3.08,2.85,0.85,0.65
262,0.07,3.58,0.62,0.47,0.29,3.08,2.85,0.85,0.65
262.5,0.07,3.58,0.62,0.47,0.29,3.09,2.84,0.85,0.65
263,0.07,3.58,0.62,0.47,0.29,3.09,2.84,0.85,0.65
263.5,0.07,3.58,0.62,0.47,0.29,3.09,2.84,0.85,0.65
264,0.07,3.58,0.62,0.47,0.29,3.09,2.84,0.85,0.65
264.5,0.07,3.58,0.62,0.47,0.29,3.09,2.83,0.85,0.65
265,0.07,3.58,0.62,0.46,0.29,3.1,2.83,0.85,0.65
265.5,0.07,3.58,0.62,0.46,0.29,3.1,2.83,0.85,0.65
266,0.07,3.58,0.62,0.46,0.28,3.1,2.83,0.85,0.65
266.5,0.07,3.58,0.62,0.46,0.28,3.1,2.83,0.85,0.65
267,0.07,3.58,0.62,0.46,0.28,3.1,2.82,0.85,0.65
267.5,0.06,3.58,0.62,0.46,0.28,3.1,2.82,0.85,0.65
268,0.06,3.58,0.62,0.46,0.28,3.11,2.82,0.85,0.65
268.5,0.06,3.57,0.62,0.45,0.28,3.11,2.82,0.85,0.65
269,0.06,3.57,0.62,0.45,0.28,3.11,2.82,0.85,0.65
269.5,0.06,3.57,0.62,0.45,0.28,3.11,2.81,0.85,0.65
270,0.06,3.57,0.62,0.45,0.28,3.11,2.81,0.85,0.65
270.5,0.06,3.57,0.62,0.45,0.28,3.11,2.81,0.85,0.65
271,0.06,3.57,0.62,0.45,0.28,3.11,2.81,0.85,0.65
271.5,0.06,3.57,0.62,0.45,0.28,3.12,2.81,0.85,0.65
272,0.06,3.57,0.62,0.44,0.28,3.12,2.81,0.85,0.65
272.5,0.06,3.57,0.62,0.44,0.28,3.12,2.8,0.85,0.65
273,0.06,3.57,0.62,0.44,0.28,3.12,2.8,0.85,0.65
273.5,0.06,3.57,0.61,0.44,0.28,3.12,2.8,0.85,0.65
274,0.06,3.57,0.61,0.44,0.28,3.12,2.8,0.85,0.65
274.5,0.06,3.57,0.61,0.44,0.28,3.12,2.8,0.85,0.65
275,0.06,3.57,0.61,0.44,0.28,3.12,2.79,0.85,0.65
275.5,0.06,3.57,0.61,0.44,0.28,3.13,2.79,0.85,0.65
276,0.06,3.57,0.61,0.43,0.28,3.13,2.79,0.85,0.65
276.5,0.06,3.56,0.61,0.43,0.28,3.13,2.79,0.84,0.65
277,0.06,3.56,0.61,0.43,0.28,3.13,2.79,0.84,0.65
277.5,0.06,3.56,0.61,0.43,0.28,3.13,2.79,0.84,0.65
278,0.06,3.56,0.61,0.43,0.28,3.13,2.79,0.84,0.65
278.5,0.06,3.56,0.61,0.43,0.28,3.13,2.78,0.84,0.65
279,0.06,3.56,0.61,0.43,0.27,3.13,2.78,0.84,0.65
279.5,0.06,3.56,0.61,0.43,0.27,3.13,2.78,0.84,0.65
280,0.06,3.56,0.61,0.43,0.27,3.13,2.78,0.84,0.65
280.5,0.06,3.56,0.61,0.42,0.27,3.13,2.78,0.84,0.65
281,0.06,3.56,0.61,0.42,0.27,3.13,2.78,0.84,0.65
281.5,0.06,3.56,0.61,0.42,0.27,3.14,2.77,0.84,0.65
282,0.06,3.56,0.61,0.42,0.27,3.14,2.77,0.84,0.65
282.5,0.06,3.56,0.61,0.42,0.27,3.14,2.77,0.84,0.65
283,0.06,3.56,0.61,0.42,0.27,3.14,2.77,0.84,0.65
283.5,0.06,3.55,0.61,0.42,0.27,3.14,2.77,0.84,0.65
284,0.06,3.55,0.61,0.42,0.27,3.14,2.77,0.84,0.65
284.5,0.06,3.55,0.61,0.42,0.27,3.14,2.77,0.84,0.65
285,0.06,3.55,0.61,0.42,0.27,3.14,2.77,0.84,0.65
285.5,0.06,3.55,0.61,0.41,0.27,3.14,2.76,0.84,0.65
286,0.06,3.55,0.61,0.41,0.27,3.14,2.76,0.84,0.65
286.5,0.06,3.55,0.61,0.41,0.27,3.14,2.76,0.84,0.65
287,0.06,3.55,0.61,0.41,0.27,3.14,2.76,0.84,0.65
287.5,0.06,3.55,0.61,0.41,0.27,3.14,2.76,0.84,0.65
288,0.06,3.55,0.61,0.41,0.27,3.14,2.76,0.84,0.65
288.5,0.06,3.55,0.61,0.41,0.27,3.14,2.76,0.84,0.65
289,0.06,3.55,0.61,0.41,0.27,3.14,2.76,0.84,0.65
289.5,0.06,3.55,0.61,0.41,0.27,3.14,2.75,0.84,0.65
290,0.06,3.55,0.61,0.41,0.27,3.14,2.75,0.84,0.65
290.5,0.06,3.55,0.61,0.41,0.27,3.14,2.75,0.84,0.65
291,0.06,3.54,0.61,0.4,0.27,3.14,2.75,0.84,0.65
291.5,0.06,3.54,0.61,0.4,0.27,3.14,2.75,0.84,0.65
292,0.06,3.54,0.61,0.4,0.27,3.14,2.75,0.84,0.65
292.5,0.06,3.54,0.61,0.4,0.27,3.14,2.75,0.84,0.65
293,0.06,3.54,0.61,0.4,0.27,3.14,2.75,0.84,0.65
293.5,0.06,3.54,0.61,0.4,0.27,3.14,2.75,0.84,0.65
294,0.06,3.54,0.61,0.4,0.27,3.14,2.74,0.84,0.65
294.5,0.06,3.54,0.61,0.4,0.27,3.14,2.74,0.84,0.65
295,0.06,3.54,0.61,0.4,0.27,3.14,2.74,0.84,0.65
295.5,0.06,3.54,0.61,0.4,0.27,3.14,2.74,0.84,0.65
296,0.06,3.54,0.61,0.4,0.26,3.14,2.74,0.84,0.65
296.5,0.05,3.54,0.61,0.4,0.26,3.14,2.74,0.84,0.65
297,0.05,3.54,0.61,0.4,0.26,3.14,2.74,0.84,0.65
297.5,0.05,3.54,0.61,0.39,0.26,3.14,2.74,0.84,0.65
298,0.05,3.53,0.61,0.39,0.26,3.14,2.74,0.84,0.65
298.5,0.05,3.53,0.61,0.39,0.26,3.14,2.74,0.84,0.65
299,0.05,3.53,0.61,0.39,0.26,3.14,2.73,0.84,0.65
299.5,0.05,3.53,0.61,0.39,0.26,3.14,2.73,0.84,0.65
300,0.05,3.53,0.61,0.39,0.26,3.14,2.73,0.84,0.65
300.5,0.05,3.53,0.61,0.39,0.26,3.14,2.73,0.84,0.65
301,0.05,3.53,0.61,0.39,0.26,3.14,2.73,0.84,0.65
301.5,0.05,3.53,0.61,0.39,0.26,3.14,2.73,0.84,0.65
302,0.05,3.53,0.61,0.39,0.26,3.14,2.73,0.84,0.65
302.5,0.05,3.53,0.61,0.39,0.26,3.14,2.73,0.84,0.65
303,0.05,3.53,0.61,0.39,0.26,3.14,2.73,0.84,0.65
303.5,0.05,3.53,0.61,0.39,0.26,3.14,2.73,0.84,0.65
304,0.05,3.53,0.61,0.39,0.26,3.14,2.73,0.84,0.65
304.5,0.05,3.53,0.61,0.39,0.26,3.14,2.73,0.84,0.65
305,0.05,3.53,0.61,0.38,0.26,3.14,2.72,0.84,0.65
305.5,0.05,3.52,0.61,0.38,0.26,3.14,2.72,0.84,0.65
306,0.05,3.52,0.61,0.38,0.26,3.14,2.72,0.84,0.65
306.5,0.05,3.52,0.61,0.38,0.26,3.14,2.72,0.84,0.65
307,0.05,3.52,0.61,0.38,0.26,3.14,2.72,0.84,0.65
307.5,0.05,3.52,0.61,0.38,0.26,3.14,2.72,0.84,0.65
308,0.05,3.52,0.61,0.38,0.26,3.14,2.72,0.84,0.65
308.5,0.05,3.52,0.61,0.38,0.26,3.14,2.72,0.84,0.65
309,0.05,3.52,0.61,0.38,0.26,3.14,2.72,0.84,0.65
309.5,0.05,3.52,0.61,0.38,0.26,3.14,2.72,0.84,0.65
310,0.05,3.52,0.61,0.38,0.26,3.14,2.72,0.84,0.65
310.5,0.05,3.52,0.61,0.38,0.26,3.14,2.72,0.84,0.65
311,0.05,3.52,0.61,0.38,0.26,3.14,2.72,0.84,0.65
311.5,0.05,3.52,0.61,0.38,0.26,3.14,2.72,0.84,0.65
312,0.05,3.52,0.61,0.38,0.26,3.14,2.72,0.84,0.65
312.5,0.05,3.52,0.61,0.38,0.26,3.14,2.71,0.84,0.65
313,0.05,3.52,0.61,0.38,0.26,3.14,2.71,0.84,0.65
313.5,0.05,3.51,0.61,0.38,0.26,3.13,2.71,0.84,0.65
314,0.05,3.51,0.61,0.38,0.26,3.13,2.71,0.84,0.65
314.5,0.05,3.51,0.61,0.37,0.26,3.13,2.71,0.84,0.65
315,0.05,3.51,0.61,0.37,0.26,3.13,2.71,0.84,0.65
315.5,0.05,3.51,0.61,0.37,0.26,3.13,2.71,0.83,0.65
316,0.05,3.51,0.61,0.37,0.26,3.13,2.71,0.83,0.65
316.5,0.05,3.51,0.61,0.37,0.26,3.13,2.71,0.83,0.65
317,0.05,3.51,0.61,0.37,0.26,3.13,2.71,0.83,0.65
317.5,0.05,3.51,0.6,0.37,0.26,3.13,2.71,0.83,0.65
318,0.05,3.51,0.6,0.37,0.26,3.13,2.71,0.83,0.65
318.5,0.05,3.51,0.6,0.37,0.26,3.13,2.71,0.83,0.65
319,0.05,3.51,0.6,0.37,0.26,3.13,2.71,0.83,0.65
319.5,0.05,3.51,0.6,0.37,0.26,3.13,2.71,0.83,0.65
320,0.05,3.51,0.6,0.37,0.26,3.13,2.71,0.83,0.65
